,Values of area
0,238401
1,583946
2,301121
3,208097
4,861373
5,532202
6,737164
7,150802
8,959257
9,52914
10,631725
11,310418
12,682877
13,654986
14,935763
15,368666
16,413750
17,443620
18,704525
19,579492
20,222810
21,706573
22,780893
23,238668
24,861950
25,441790
26,625245
27,122310
28,468262
29,771869
30,544885
31,79575
32,562122
33,739847
34,541249
35,855399
36,446456
37,694913
38,120718
39,744667
40,778348
41,597052
42,40115
43,113535
44,710062
45,248265
46,63360
47,112945
48,983857
49,721565
50,838887
51,769129
52,221309
53,559980
54,255744
55,732302
56,403847
57,343220
58,727185
59,739092
60,870666
61,589842
62,863812
63,636851
64,219866
65,319041
66,622793
67,214552
68,12910
69,428024
70,356873
71,19708
72,409424
73,530669
74,97032
75,318020
76,195932
77,80679
78,982271
79,983173
80,645058
81,432216
82,688630
83,996234
84,723721
85,109597
86,952505
87,169259
88,956104
89,236344
90,787812
91,776719
92,604566
93,933418
94,69480
95,776998
96,138409
97,735535
98,69090
99,965622
100,386765
101,26635
102,748101
103,964859
104,569258
105,699619
106,552536
107,83138
108,378349
109,759272
110,614105
111,934787
112,538530
113,824291
114,587185
115,635354
116,971402
117,664965
118,939414
119,279995
120,96934
121,477719
122,615777
123,330975
124,611330
125,851974
126,40635
127,737091
128,359730
129,713015
130,173678
131,261497
132,36497
133,5820
134,26409
135,194433
136,670059
137,539016
138,677393
139,25587
140,874693
141,140915
142,41446
143,805587
144,529036
145,788575
146,446909
147,580704
148,771230
149,497125
150,255469
151,7843
152,882198
153,231156
154,197999
155,950438
156,461399
157,763978
158,431818
159,617360
160,220828
161,362626
162,402619
163,395921
164,431932
165,23353
166,369552
167,643113
168,164540
169,570375
170,400111
171,239831
172,725936
173,603080
174,198703
175,742625
176,762489
177,285353
178,481470
179,225554
180,332151
181,958527
182,498508
183,293980
184,791739
185,540774
186,684984
187,707671
188,213501
189,686051
190,435562
191,841016
192,183378
193,937756
194,790311
195,175952
196,419535
197,108103
198,339795
199,421175
200,154596
201,128494
202,296151
203,388394
204,346683
205,536174
206,230343
207,360593
208,550276
209,579668
210,478810
211,840210
212,328092
213,635586
214,547411
215,536748
216,333691
217,758171
218,682926
219,771058
220,952675
221,502653
222,473006
223,840826
224,282742
225,683687
226,346274
227,163937
228,401276
229,650579
230,27685
231,310485
232,113482
233,79202
234,553386
235,280386
236,117089
237,913149
238,336387
239,298417
240,727884
241,994818
242,455230
243,634163
244,250784
245,888622
246,596878
247,766552
248,824227
249,970767
250,461214
251,830629
252,231409
253,264551
254,445957
255,512634
256,800231
257,981091
258,124562
259,637716
260,314277
261,371176
262,213907
263,730764
264,108639
265,323555
266,249626
267,355783
268,91698
269,569955
270,505850
271,405217
272,877441
273,727940
274,706711
275,204795
276,159381
277,241049
278,925441
279,655660
280,309146
281,643900
282,100733
283,677533
284,320767
285,297612
286,689306
287,247735
288,313395
289,599621
290,720646
291,401530
292,670671
293,620677
294,385649
295,911530
296,275319
297,417060
298,590180
299,234658
300,16031
301,271689
302,864627
303,675494
304,421644
305,940937
306,323753
307,911246
308,816855
309,579624
310,217686
311,489244
312,294537
313,139935
314,461701
315,595976
316,499771
317,177292
318,480206
319,441246
320,703097
321,191333
322,580433
323,911332
324,198990
325,885458
326,661298
327,147669
328,340317
329,776597
330,387230
331,185993
332,230844
333,219199
334,266156
335,936383
336,334255
337,632307
338,632260
339,607573
340,505977
341,242812
342,122505
343,426546
344,195639
345,501337
346,343723
347,183395
348,84705
349,503840
350,10857
351,476813
352,17851
353,471334
354,800537
355,89334
356,126164
357,492469
358,264934
359,97828
360,876643
361,354479
362,823542
363,600062
364,397253
365,330539
366,80824
367,606208
368,72827
369,571568
370,884048
371,689704
372,623763
373,500901
374,372291
375,544035
376,82201
377,309161
378,536135
379,866302
380,623677
381,772242
382,632904
383,611641
384,620061
385,974434
386,378633
387,972149
388,95004
389,385424
390,274627
391,532672
392,921032
393,511435
394,189768
395,108868
396,213228
397,884849
398,528286
399,734953
400,985967
401,160154
402,865430
403,803159
404,542216
405,117427
406,428317
407,64348
408,71764
409,995955
410,987362
411,451117
412,707697
413,310270
414,622440
415,751760
416,950298
417,564311
418,701655
419,207918
420,542603
421,311579
422,407845
423,677058
424,661923
425,999410
426,571745
427,375179
428,272933
429,524883
430,274146
431,139127
432,69086
433,508504
434,507759
435,173672
436,929908
437,140459
438,703911
439,617260
440,801538
441,282749
442,946624
443,770476
444,661091
445,593894
446,181220
447,549252
448,16489
449,1993
450,226525
451,980069
452,734145
453,233397
454,41607
455,829217
456,458192
457,696569
458,782087
459,751413
460,744098
461,873784
462,608378
463,483084
464,321329
465,659502
466,824335
467,689976
468,58281
469,591994
470,335218
471,545015
472,311783
473,997848
474,887610
475,21741
476,585189
477,148811
478,68545
479,972406
480,29055
481,126742
482,9594
483,277028
484,198262
485,910330
486,983604
487,609663
488,509423
489,291924
490,572938
491,901556
492,911526
493,421865
494,570794
495,948926
496,877184
497,229419
498,659040
499,417348
500,105887
501,230234
502,800281
503,607516
504,989691
505,986606
506,743938
507,496997
508,674362
509,839585
510,239502
511,922430
512,723109
513,486020
514,64283
515,22743
